text,moral,summary
"A Dove saw an Ant fall into a brook. The Ant struggled in vain to reach the bank, and in pity, the Dove dropped a blade of straw close beside it. Clinging to the straw like a shipwrecked sailor to a broken spar, the Ant floated safely to shore.Soon after, the Ant saw a man getting ready to kill the Dove with a stone. But just as he cast the stone, the Ant stung him in the heel, so that the pain made him miss his aim, and the startled Dove flew to safety in a distant wood.A kindness is never wasted.",A kindness is never wasted.,A man and satyr become friends but the satry says goodbye when the man when he blows hot and cold in the same breath.
"A long time ago a Man met a Satyr in the forest and succeeded in making friends with him. The two soon became the best of comrades, living together in the Man's hut. But one cold winter evening, as they were walking homeward, the Satyr saw the Man blow on his fingers.""Why do you do that?"" asked the Satyr.""To warm my hands,"" the Man replied.When they reached home the Man prepared two bowls of porridge. These he placed steaming hot on the table, and the comrades sat down very cheerfully to enjoy the meal. But much to the Satyr's surprise, the Man began to blow into his bowl of porridge.""Why do you do that?"" he asked.""To cool my porridge,"" replied the Man.The Satyr sprang hurriedly to his feet and made for the door.""Goodby,"" he said, ""I've seen enough. A fellow that blows hot and cold in the same breath cannot be friends with me!""The man who talks for both sides is not to be trusted by either.",The man who talks for both sides is not to be trusted by either.,A dove saves a drowning ant and the ant repays the kindness by stinging a man in the heel to make him miss his aim on the dove.
"One bright morning as the Fox was following his sharp nose through the wood in search of a bite to eat, he saw a Crow on the limb of a tree overhead. This was by no means the first Crow the Fox had ever seen. What caught his attention this time and made him stop for a second look, was that the lucky Crow held a bit of cheese in her beak.""No need to search any farther,"" thought sly Master Fox. ""Here is a dainty bite for my breakfast.""Up he trotted to the foot of the tree in which the Crow was sitting, and looking up admiringly, he cried, ""Good-morning, beautiful creature!""The Crow, her head cocked on one side, watched the Fox suspiciously. But she kept her beak tightly closed on the cheese and did not return his greeting.""What a charming creature she is!"" said the Fox. ""How her feathers shine! What a beautiful form and what splendid wings! Such a wonderful Bird should have a very lovely voice, since everything else about her is so perfect. Could she sing just one song, I know I should hail her Queen of Birds.""Listening to these flattering words, the Crow forgot all her suspicion, and also her breakfast. She wanted very much to be called Queen of Birds.So she opened her beak wide to utter her loudest caw, and down fell the cheese straight into the Fox's open mouth.""Thank you,"" said Master Fox sweetly, as he walked off. ""Though it is cracked, you have a voice sure enough. But where are your wits?""The flatterer lives at the expense of those who will listen to him.",The flatterer lives at the expense of those who will listen to him.,A fox flatters a crow and makes him sing and thus drop the bit of cheese he held in his beak.
"A Dog, to whom the butcher had thrown a bone, was hurrying home with his prize as fast as he could go. As he crossed a narrow footbridge, he happened to look down and saw himself reflected in the quiet water as if in a mirror. But the greedy Dog thought he saw a real Dog carrying a bone much bigger than his own.If he had stopped to think he would have known better. But instead of thinking, he dropped his bone and sprang at the Dog in the river, only to find himself swimming for dear life to reach the shore. At last he managed to scramble out, and as he stood sadly thinking about the good bone he had lost, he realized what a stupid Dog he had been.It is very foolish to be greedy.",It is very foolish to be greedy.,A poor fisherman does not spare the little fish because the little fish is better than nothing at all.
"A poor Fisherman, who lived on the fish he caught, had bad luck one day and caught nothing but a very small fry. The Fisherman was about to put it in his basket when the little Fish said:""Please spare me, Mr. Fisherman! I am so small it is not worth while to carry me home. When I am bigger, I shall make you a much better meal.""But the Fisherman quickly put the fish into his basket.""How foolish I should be,"" he said, ""to throw you back. However small you may be, you are better than nothing at all.""A small gain is worth more than a large promise.",A small gain is worth more than a large promise.,A fox tries to deceive the cock but gets paid in his own coin when seized by the dog.
"The Lion had been badly hurt by the horns of a Goat, which he was eating. He was very angry to think that any animal that he chose for a meal, should be so brazen as to wear such dangerous things as horns to scratch him while he ate. So he commanded that all animals with horns should leave his domains within twenty-four hours.The command struck terror among the beasts. All those who were so unfortunate as to have horns, began to pack up and move out. Even the Hare, who, as you know, has no horns and so had nothing to fear, passed a very restless night, dreaming awful dreams about the fearful Lion.And when he came out of the warren in the early morning sunshine, and there saw the shadow cast by his long and pointed ears, a terrible fright seized him.""Goodby, neighbor Cricket,"" he called. ""I'm off. He will certainly make out that my ears are horns, no matter what I say.""Do not give your enemies the slightest reason to attack your reputation. Your enemies will seize any excuse to attack you.",Do not give your enemies the slightest reason to attack your reputation. Your enemies will seize any excuse to attack you.,The hare leaves the forest even though it has no reason to as the lion will make out its ears to be horns no matter what it says.
"""Why in the world do you walk sideways like that?"" said a Mother Crab to her son. ""You should always walk straight forward with your toes turned out.""""Show me how to walk, mother dear,"" answered the little Crab obediently, ""I want to learn.""So the old Crab tried and tried to walk straight forward. But she could walk sideways only, like her son. And when she wanted to turn her toes out she tripped and fell on her nose.Do not tell others how to act unless you can set a good example.",Do not tell others how to act unless you can set a good example.,A dog tries to go after a dog with a bigger bone only to lose the good bone he had.
"A Dog and a Cock, who were the best of friends, wished very much to see something of the world. So they decided to leave the farmyard and to set out into the world along the road that led to the woods. The two comrades traveled along in the very best of spirits and without meeting any adventure to speak of.At nightfall the Cock, looking for a place to roost, as was his custom, spied nearby a hollow tree that he thought would do very nicely for a night's lodging. The Dog could creep inside and the Cock would fly up on one of the branches. So said, so done, and both slept very comfortably.With the first glimmer of dawn the Cock awoke. For the moment he forgot just where he was. He thought he was still in the farmyard where it had been his duty to arouse the household at daybreak. So standing on tip-toes he flapped his wings and crowed lustily. But instead of awakening the farmer, he awakened a Fox not far off in the wood. The Fox immediately had rosy visions of a very delicious breakfast. Hurrying to the tree where the Cock was roosting, he said very politely:""A hearty welcome to our woods, honored sir. I cannot tell you how glad I am to see you here. I am quite sure we shall become the closest of friends.""""I feel highly flattered, kind sir,"" replied the Cock slyly. ""If you will please go around to the door of my house at the foot of the tree, my porter will let you in.""The hungry but unsuspecting Fox, went around the tree as he was told, and in a twinkling the Dog had seized him.Those who try to deceive may expect to be paid in their own coin.",Those who try to deceive may expect to be paid in their own coin.,"A mother crab tries to make her son walk straight but fails at it herself, trips and falls on her nose."
"An Eagle, swooping down on powerful wings, seized a lamb in her talons and made off with it to her nest. A Jackdaw saw the deed, and his silly head was filled with the idea that he was big and strong enough to do as the Eagle had done. So with much rustling of feathers and a fierce air, he came down swiftly on the back of a large Ram. But when he tried to rise again he found that he could not get away, for his claws were tangled in the wool. And so far was he from carrying away the Ram, that the Ram hardly noticed he was there.The Shepherd saw the fluttering Jackdaw and at once guessed what had happened. Running up, he caught the bird and clipped its wings. That evening he gave the Jackdaw to his children.""What a funny bird this is!"" they said laughing, ""what do you call it, father?""""That is a Jackdaw, my children. But if you should ask him, he would say he is an Eagle.""Do not let your vanity make you overestimate your powers.",Do not let your vanity make you overestimate your powers.,A jackdaw fills his head with the idea that he was big and strong enough as an eagle but gets caught by shepherd and gets his wings cut off.
"The Tortoise, you know, carries his house on his back. No matter how hard he tries, he cannot leave home. They say that Jupiter punished him so, because he was such a lazy stay-at-home that he would not go to Jupiter's wedding, even when especially invited.After many years, Tortoise began to wish he had gone to that wedding. When he saw how gaily the birds flew about and how the Hare and the Chipmunk and all the other animals ran nimbly by, always eager to see everything there was to be seen, the Tortoise felt very sad and discontented. He wanted to see the world too, and there he was with a house on his back and little short legs that could hardly drag him along.One day he met a pair of Ducks and told them all his trouble.""We can help you to see the world,"" said the Ducks. ""Take hold of this stick with your teeth and we will carry you far up in the air where you can see the whole countryside. But keep quiet or you will be sorry.""The Tortoise was very glad indeed. He seized the stick firmly with his teeth, the two Ducks took hold of it one at each end, and away they sailed up toward the clouds.Just then a Crow flew by. He was very much astonished at the strange sight and cried:""This must surely be the King of Tortoises!""""Why certainly"" began the Tortoise.But as he opened his mouth to say these foolish words he lost his hold on the stick, and down he fell to the ground, where he was dashed to pieces on a rock.Foolish curiosity and vanity often lead to misfortune.",Foolish curiosity and vanity often lead to misfortune.,A pair of ducks agree to help the tortoise see the world but ask him to keep quiet. But the tortoise opens his mouth and falls to the ground.
"""A frisky young Kid had been left by the herdsman on the thatched roof of a sheep shelter to keep him out of harm's way. The Kid was browsing near the edge of the roof, when he spied a Wolf and began to jeer at him, making faces and abusing him to his heart's content.""I hear you,"" said the Wolf, ""and I haven't the least grudge against you for what you say or do. When you are up there it is the roof that's talking, not you.""Do not say anything at any time that you would not say at all times.",Do not say anything at any time that you would not say at all times.,A kid jeers and abuses a wolf from the top of a thatched roof and the wolf says that it was the roof talking and not the kid.
"A Boy was given permission to put his hand into a pitcher to get some filberts. But he took such a great fistful that he could not draw his hand out again. There he stood, unwilling to give up a single filbert and yet unable to get them all out at once. Vexed and disappointed he began to cry.""My boy,"" said his mother, ""be satisfied with half the nuts you have taken and you will easily get your hand out. Then perhaps you may have some more filberts some other time.""Do not attempt too much at once.",Do not attempt too much at once.,"A wolf strikes a merry tune before eating a little kid, and the shepherd dogs recognise the song and come after him."
"There was once a little Kid whose growing horns made him think he was a grown-up Billy Goat and able to take care of himself. So one evening when the flock started home from the pasture and his mother called, the Kid paid no heed and kept right on nibbling the tender grass. A little later when he lifted his head, the flock was gone.He was all alone. The sun was sinking. Long shadows came creeping over the ground. A chilly little wind came creeping with them making scary noises in the grass. The Kid shivered as he thought of the terrible Wolf. Then he started wildly over the field, bleating for his mother. But not half-way, near a clump of trees, there was the Wolf!The Kid knew there was little hope for him.""Please, Mr. Wolf,"" he said trembling, ""I know you are going to eat me. But first please pipe me a tune, for I want to dance and be merry as long as I can.""The Wolf liked the idea of a little music before eating, so he struck up a merry tune and the Kid leaped and frisked gaily.Meanwhile, the flock was moving slowly homeward. In the still evening air the Wolf's piping carried far. The Shepherd Dogs pricked up their ears. They recognized the song the Wolf sings before a feast, and in a moment they were racing back to the pasture. The Wolf's song ended suddenly, and as he ran, with the Dogs at his heels, he called himself a fool for turning piper to please a Kid, when he should have stuck to his butcher's trade.Do not let anything turn you from your purpose
.","Do not let anything turn you from your purpose
.",A boy takes a great fistful of filberts but cannot draw his hand out again.
"A Farmer was driving his wagon along a miry country road after a heavy rain. The horses could hardly drag the load through the deep mud, and at last came to a standstill when one of the wheels sank to the hub in a rut.The farmer climbed down from his seat and stood beside the wagon looking at it but without making the least effort to get it out of the rut. All he did was to curse his bad luck and call loudly on Hercules to come to his aid. Then, it is said, Hercules really did appear, saying:""Put your shoulder to the wheel, man, and urge on your horses. Do you think you can move the wagon by simply looking at it and whining about it? Hercules will not help unless you make some effort to help yourself.""And when the farmer put his shoulder to the wheel and urged on the horses, the wagon moved very readily, and soon the Farmer was riding along in great content and with a good lesson learned.Self help is the best help.
","Self help is the best help.
",A farmer asks Hercules for aid to get his wagon out of a rut but gets it out himself by putting his shoulder to the wheel and urging on the horses.
"Two men were traveling in company along the road when one of them picked up a well-filled purse.""How lucky I am!"" he said. ""I have found a purse. Judging by its weight it must be full of gold.""""Do not say 'I have found a purse,'"" said his companion. ""Say rather 'we have found a purse' and 'how lucky we are.' Travelers ought to share alike the fortunes or misfortunes of the road.""""No, no,"" replied the other angrily. ""I found it and I am going to keep it.""Just then they heard a shout of ""Stop, thief!"" and looking around, saw a mob of people armed with clubs coming down the road.The man who had found the purse fell into a panic.""We are lost if they find the purse on us,"" he cried.""No, no,"" replied the other, ""You would not say 'we' before, so now stick to your 'I'. Say 'I am lost.'""We cannot expect any one to share our misfortunes unless we are willing to share our good fortune also.",We cannot expect any one to share our misfortunes unless we are willing to share our good fortune also.,A man is willing to share his misfortune but not his good fortune.
"A certain Father had a family of Sons, who were forever quarreling among themselves. No words he could say did the least good, so he cast about in his mind for some very striking example that should make them see that discord would lead them to misfortune.One day when the quarreling had been much more violent than usual and each of the Sons was moping in a surly manner, he asked one of them to bring him a bundle of sticks. Then handing the bundle to each of his Sons in turn he told them to try to break it. But although each one tried his best, none was able to do so.The Father then untied the bundle and gave the sticks to his Sons to break one by one. This they did very easily.""My Sons,"" said the Father, ""do you not see how certain it is that if you agree with each other and help each other, it will be impossible for your enemies to injure you? But if you are divided among yourselves, you will be no stronger than a single stick in that bundle.""In unity is strength.",In unity is strength.,A farmer refuses to spare punishment to a stork caught in the company of theiving cranes in his field.
"A Stork of a very simple and trusting nature had been asked by a gay party of Cranes to visit a field that had been newly planted. But the party ended dismally with all the birds entangled in the meshes of the Farmer's net.The Stork begged the Farmer to spare him.""Please let me go,"" he pleaded. ""I belong to the Stork family who you know are honest and birds of good character. Besides, I did not know the Cranes were going to steal.""""You may be a very good bird,"" answered the Farmer, ""but I caught you with the thieving Cranes and you will have to share the same punishment with them.""You are judged by the company you keep.",You are judged by the company you keep.,A father gives a bundle of sticks to his sons to break but none is able to do so. They break the sticks one by one though.
"An Ass was being driven along a road leading down the mountain side, when he suddenly took it into his silly head to choose his own path. He could see his stall at the foot of the mountain, and to him the quickest way down seemed to be over the edge of the nearest cliff. Just as he was about to leap over, his master caught him by the tail and tried to pull him back, but the stubborn Ass would not yield and pulled with all his might.""Very well,"" said his master, ""go your way, you willful beast, and see where it leads you.""With that he let go, and the foolish Ass tumbled head over heels down the mountain side.They who will not listen to reason but stubbornly go their own way against the friendly advice of those who are wiser than they, are on the road to misfortune.","They who will not listen to reason but stubbornly go their own way against the friendly advice of those who are wiser than they, are on the road to misfortune.","An ass doesn't listen to his master and stubbornly insists on going over the edge of the nearest cliff to get to his stall quick, and tumbles head over heels down the mountain side."
"A pair of Oxen were drawing a heavily loaded wagon along a miry country road. They had to use all their strength to pull the wagon, but they did not complain.The Wheels of the wagon were of a different sort. Though the task they had to do was very light compared with that of the Oxen, they creaked and groaned at every turn. The poor Oxen, pulling with all their might to draw the wagon through the deep mud, had their ears filled with the loud complaining of the Wheels. And this, you may well know, made their work so much the harder to endure.""Silence!"" the Oxen cried at last, out of patience. ""What have you Wheels to complain about so loudly? We are drawing all the weight, not you, and we are keeping still about it besides.""They complain most who suffer least.",They complain most who suffer least.,A pair of oxen drawing all the weight of the wagon do not complain but the wheels with light task creak and groan at every turn.
"One day a shepherd discovered a fat Pig in the meadow where his Sheep were pastured. He very quickly captured the porker, which squealed at the top of its voice the moment the Shepherd laid his hands on it. You would have thought, to hear the loud squealing, that the Pig was being cruelly hurt. But in spite of its squeals and struggles to escape, the Shepherd tucked his prize under his arm and started off to the butcher's in the market place.The Sheep in the pasture were much astonished and amused at the Pig's behavior, and followed the Shepherd and his charge to the pasture gate.""What makes you squeal like that?"" asked one of the Sheep. ""The Shepherd often catches and carries off one of us. But we should feel very much ashamed to make such a terrible fuss about it like you do.""""That is all very well,"" replied the Pig, with a squeal and a frantic kick. ""When he catches you he is only after your wool. But he wants my bacon! gree-ee-ee!""It is easy to be brave when there is no danger.",It is easy to be brave when there is no danger.,The sheep caught by a shepherd do not make a terrible fuss because he is only after wool. The pig caught by shepherd squeals because the shepherd wants bacon.
"One day as the Lion walked proudly down a forest aisle, and the animals respectfully made way for him, an Ass brayed a scornful remark as he passed.The Lion felt a flash of anger. But when he turned his head and saw who had spoken, he walked quietly on. He would not honor the fool with even so much as a stroke of his claws.Do not resent the remarks of a fool. Ignore them.",Do not resent the remarks of a fool. Ignore them.,A lion does not honor the fool who scorns him.
"A Shepherd Boy tended his master's Sheep near a dark forest not far from the village. Soon he found life in the pasture very dull. All he could do to amuse himself was to talk to his dog or play on his shepherd's pipe.One day as he sat watching the Sheep and the quiet forest, and thinking what he would do should he see a Wolf, he thought of a plan to amuse himself.His Master had told him to call for help should a Wolf attack the flock, and the Villagers would drive it away. So now, though he had not seen anything that even looked like a Wolf, he ran toward the village shouting at the top of his voice, ""Wolf! Wolf!""As he expected, the Villagers who heard the cry dropped their work and ran in great excitement to the pasture. But when they got there they found the Boy doubled up with laughter at the trick he had played on them.A few days later the Shepherd Boy again shouted, ""Wolf! Wolf!"" Again the Villagers ran to help him, only to be laughed at again.Then one evening as the sun was setting behind the forest and the shadows were creeping out over the pasture, a Wolf really did spring from the underbrush and fall upon the Sheep.In terror the Boy ran toward the village shouting ""Wolf! Wolf!"" But though the Villagers heard the cry, they did not run to help him as they had before. ""He cannot fool us again,"" they said.The Wolf killed a great many of the Boy's sheep and then slipped away into the forest.Liars are not believed even when they speak the truth.",Liars are not believed even when they speak the truth.,"A shepherd boy fools the villagers by crying 'wolf! Wolf!' twice. When the wolf really does come, no villager runs to help."
"The Frogs were tired of governing themselves. They had so much freedom that it had spoiled them, and they did nothing but sit around croaking in a bored manner and wishing for a government that could entertain them with the pomp and display of royalty, and rule them in a way to make them know they were being ruled. No milk and water government for them, they declared. So they sent a petition to Jupiter asking for a king.Jupiter saw what simple and foolish creatures they were, but to keep them quiet and make them think they had a king he threw down a huge log, which fell into the water with a great splash. The Frogs hid themselves among the reeds and grasses, thinking the new king to be some fearful giant. But they soon discovered how tame and peaceable King Log was. In a short time the younger Frogs were using him for a diving platform, while the older Frogs made him a meeting place, where they complained loudly to Jupiter about the government.To teach the Frogs a lesson the ruler of the gods now sent a Crane to be king of Frogland. The Crane proved to be a very different sort of king from old King Log. He gobbled up the poor Frogs right and left and they soon saw what fools they had been. In mournful croaks they begged Jupiter to take away the cruel tyrant before they should all be destroyed.""How now!"" cried Jupiter ""Are you not yet content? You have what you asked for and so you have only yourselves to blame for your misfortunes.""Be sure you can better your condition before you seek to change.",Be sure you can better your condition before you seek to change.,The frogs ask Jupiter for a king and complain about the huge log Jupiter throws. So Jupiter sends a Crane who gobbles up the frogs.
"A Wolf left his lair one evening in fine spirits and an excellent appetite. As he ran, the setting sun cast his shadow far out on the ground, and it looked as if the wolf were a hundred times bigger than he really was.""Why,"" exclaimed the Wolf proudly, ""see how big I am! Fancy me running away from a puny Lion! I'll show him who is fit to be king, he or I.""Just then an immense shadow blotted him out entirely, and the next instant a Lion struck him down with a single blow.Do not let your fancy make you forget realities.",Do not let your fancy make you forget realities.,A wolf seeks his shadow and thinks he is bigger than a lion but gets struck down by a lion in a single blow.
"Some Boys were playing one day at the edge of a pond in which lived a family of Frogs. The Boys amused themselves by throwing stones into the pond so as to make them skip on top of the water.The stones were flying thick and fast and the Boys were enjoying themselves very much; but the poor Frogs in the pond were trembling with fear.At last one of the Frogs, the oldest and bravest, put his head out of the water, and said, ""Oh, please, dear children, stop your cruel play! Though it may be fun for you, it means death to us!""Always stop to think whether your fun may not be the cause of another's unhappiness.",Always stop to think whether your fun may not be the cause of another's unhappiness.,Some boys were enjoying themselves by throw stones into the pond while the poor frogs tremble with fear. 
"A Rat was traveling along the King's highway. He was a very proud Rat, considering his small size and the bad reputation all Rats have. As Mr. Rat walked alonghe kept mostly to the ditchhe noticed a great commotion up the road, and soon a grand procession came in view. It was the King and his retinue.The King rode on a huge Elephant adorned with the most gorgeous trappings. With the King in his luxurious howdah were the royal Dog and Cat. A great crowd of people followed the procession. They were so taken up with admiration of the Elephant, that the Rat was not noticed. His pride was hurt.""What fools!"" he cried. ""Look at me, and you will soon forget that clumsy Elephant! Is it his great size that makes your eyes pop out? Or is it his wrinkled hide? Why, I have eyes and ears and as many legs as he! I am of just as much importance, and""But just then the royal Cat spied him, and the next instant, the Rat knew he was not quite so important as an Elephant.A resemblance to the great in some things does not make us great.",A resemblance to the great in some things does not make us great.,A proud rat cries that he should get the admiration but gets spied on by the royal cat.
